City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Ornskoldsvik,SE,63.29,18.72,48.2,76,0,10.29,clear sky
232,Luderitz,NA,-26.65,15.16,58.8,75,0,2.82,clear sky
233,Manokwari,ID,-0.87,134.08,85.03,69,100,4.7,overcast clouds
234,Khatanga,RU,71.97,102.5,-5.35,90,0,6.93,clear sky
235,Port Blair,IN,11.67,92.75,82.11,79,0,8.97,light rain
236,Shimoda,JP,34.67,138.95,68,82,75,19.46,broken clouds
237,Rocha,UY,-34.48,-54.33,57.49,95,98,5.93,overcast clouds
238,Thompson,CA,55.74,-97.86,14,92,90,4.03,light snow
239,Marau,BR,-28.45,-52.2,58.71,74,0,6.29,clear sky
240,Miles City,US,46.41,-105.84,50,57,1,9.17,clear sky
241,Alofi,NU,-19.06,-169.92,80.6,57,40,11.41,scattered clouds
242,Casablanca,MA,33.59,-7.62,66,100,75,17.22,broken clouds
243,Ahtopol,BG,42.1,27.95,46.99,81,0,5.82,clear sky
244,Tabat,ID,-2.63,115.23,84.78,65,18,1.74,few clouds
245,Kruisfontein,ZA,-34,24.73,57,94,100,1.01,overcast clouds
246,Sorland,NO,67.67,12.69,46.42,89,100,28.05,light rain
247,Puerto Leguizamo,CO,-0.19,-74.78,75.25,94,100,1.77,overcast clouds
248,Hambantota,LK,6.12,81.12,75.2,100,20,4.7,few clouds
249,Vila Velha,BR,-20.33,-40.29,73.4,88,90,9.17,overcast clouds
250,Abatskoye,RU,56.29,70.46,38.75,72,100,13.24,overcast clouds
251,Okhotsk,RU,59.38,143.3,10.56,90,46,17.76,scattered clouds
252,Buin,CL,-33.73,-70.75,69.8,30,0,8.05,clear sky
253,Tuktoyaktuk,CA,69.45,-133.04,14,85,75,20.8,broken clouds
254,Upernavik,GL,72.79,-56.15,-2.07,76,0,7.31,clear sky
255,Sadasivpet,IN,17.62,77.95,73,100,40,4.7,mist
256,Lincoln,US,40.8,-96.67,68,52,1,14.99,clear sky
257,Doctor Arroyo,MX,23.67,-100.18,57.83,47,0,4.59,clear sky
258,Cabo San Lucas,MX,22.89,-109.91,82.4,74,20,5.82,few clouds
259,Hirara,JP,24.8,125.28,80.6,88,40,8.05,scattered clouds
260,Roanoke Rapids,US,36.46,-77.65,57.99,100,1,3.58,clear sky
261,Iracoubo,GF,5.48,-53.2,79.16,83,100,9.35,overcast clouds
262,Buri,BR,-23.8,-48.59,56.37,91,5,9.71,clear sky
263,Alice Springs,AU,-23.7,133.88,75.2,13,42,17.22,scattered clouds
264,Acapulco,MX,16.86,-99.89,84.2,74,75,9.17,broken clouds
265,Charters Towers,AU,-20.1,146.27,91.06,34,0,15.37,clear sky
266,Augusto Correa,BR,-1.02,-46.63,78.22,82,100,3.65,overcast clouds
267,Great Yarmouth,GB,52.61,1.73,50,91,0,9.62,clear sky
268,Ossora,RU,59.24,163.07,31.78,85,96,3.11,overcast clouds
269,Williams Lake,CA,52.14,-122.14,33.8,55,40,1.28,scattered clouds
270,Arys,KZ,42.43,68.8,44.6,22,0,11.18,clear sky
271,San Lorenzo,PY,-25.33,-57.53,75.2,33,0,4.7,clear sky
272,Bathsheba,BB,13.22,-59.52,80.6,83,40,17.22,shower rain
273,Kahului,US,20.89,-156.47,89.6,46,40,18.34,scattered clouds
274,Touros,BR,-5.2,-35.46,78.8,83,75,5.82,broken clouds
275,Port Alfred,ZA,-33.59,26.89,62.74,69,100,4.03,overcast clouds
276,Jati,PK,24.35,68.27,70.59,64,0,4.38,clear sky
277,Kavieng,PG,-2.57,150.8,84.74,75,80,13.09,broken clouds
278,Liku,ID,-0.73,119.89,83.98,64,100,2.42,overcast clouds
279,Port Augusta,AU,-32.5,137.77,66.99,59,0,11.41,clear sky
280,Podporozhye,RU,60.91,34.17,43.9,79,79,10.69,broken clouds
281,Goderich,CA,43.75,-81.72,60.8,63,47,14.99,scattered clouds
282,Moerai,PF,-22.43,-151.33,75.6,80,100,13.4,moderate rain
283,Birao,CF,10.28,22.79,74.12,39,0,4.85,clear sky
284,Porirua,NZ,-41.13,174.85,64.99,86,100,10,overcast clouds
285,Minab,IR,27.15,57.08,69.8,88,0,4.7,mist
286,Puerto Ayacucho,VE,5.66,-67.62,78.82,86,100,0.11,light rain
287,Maloy,NO,61.94,5.11,50,87,100,14.99,light rain
288,Teguldet,RU,57.31,88.17,33.42,96,100,10.29,overcast clouds
289,Slyudyanka,RU,51.66,103.71,17.62,88,12,4.41,few clouds
290,Santiago Del Estero,AR,-27.8,-64.26,81,25,0,5.01,clear sky
291,Codrington,AU,-38.27,141.97,54.64,62,96,12.97,overcast clouds
292,Provideniya,RU,64.38,-173.3,34.93,85,9,25.77,clear sky
293,Baruun-Urt,MN,46.68,113.28,19.56,74,0,21.99,clear sky
294,Kochubey,RU,44.39,46.58,46.94,72,97,14.07,overcast clouds
295,Bakchar,RU,57.02,82.07,35.55,94,100,8.32,overcast clouds
296,Flinders,AU,-34.58,150.86,63,55,90,14.99,overcast clouds
297,Menongue,AO,-14.66,17.69,68.76,46,58,3.38,broken clouds
298,Atar,MR,20.52,-13.05,83.93,22,100,2.08,overcast clouds
299,Russell,US,32.35,-85.2,69.8,68,1,4.7,clear sky
300,Hay River,CA,60.82,-115.8,6.8,84,64,4.7,broken clouds
