City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Hambantota,LK,6.12,81.12,77.0,100,75,6.93,broken clouds
239,Angoche,MZ,-16.23,39.91,81.82,71,39,15.46,scattered clouds
240,Rosario,AR,-32.95,-60.64,84.99,47,75,12.75,light rain
241,Ayagoz,KZ,47.97,80.44,49.23,40,100,9.31,overcast clouds
242,Nago,JP,26.59,127.98,73.4,69,90,17.22,overcast clouds
243,Tabou,CI,4.42,-7.35,82.13,79,98,8.37,light rain
244,Souillac,MU,-20.52,57.52,73.4,94,75,10.29,shower rain
245,Olinda,BR,-8.01,-34.86,86.0,66,75,16.11,broken clouds
246,Vernon,CA,50.26,-119.27,30.99,54,24,5.82,few clouds
247,Huron,US,41.15,-82.55,64.99,56,0,1.99,clear sky
248,Sobolevo,RU,54.43,31.9,47.12,77,100,11.16,light rain
249,General Pico,AR,-35.66,-63.76,81.48,43,98,15.28,light rain
250,Mehamn,NO,71.04,27.85,35.19,83,100,25.17,overcast clouds
251,Kearney,US,40.7,-99.08,57.2,76,1,28.86,clear sky
252,Akyab,MM,20.15,92.9,79.66,81,0,8.05,clear sky
253,Puerto Ayacucho,VE,5.66,-67.62,75.94,93,100,2.84,moderate rain
254,Matagami,CA,49.75,-77.63,41.0,93,90,4.7,overcast clouds
255,Clyde River,CA,70.47,-68.59,1.4,70,1,17.22,clear sky
256,Nola,IT,40.92,14.53,68.0,56,0,4.7,clear sky
257,Pacific Grove,US,36.62,-121.92,53.6,66,75,11.41,broken clouds
258,Pierre,US,44.37,-100.35,62.01,63,1,24.16,clear sky
259,Emba,KZ,48.83,58.14,38.1,74,99,19.01,overcast clouds
260,Pedernales,DO,18.04,-71.74,78.8,88,75,6.93,broken clouds
261,Aykhal,RU,66.0,111.5,-4.0,83,0,8.95,clear sky
262,Rosarito,MX,32.33,-117.03,55.0,87,90,6.93,mist
263,Maniitsoq,GL,65.42,-52.9,17.71,83,0,16.53,clear sky
264,Puri,IN,19.8,85.85,73.4,73,0,6.91,haze
265,Talnakh,RU,69.49,88.4,21.2,92,75,24.61,light snow
266,Elizabeth City,US,36.29,-76.25,73.99,77,1,4.7,clear sky
267,Majene,ID,-3.54,118.97,79.43,77,46,1.92,scattered clouds
268,Chokurdakh,RU,70.63,147.92,-7.15,92,100,1.59,overcast clouds
269,Trogir,HR,43.51,16.25,66.2,52,0,2.24,clear sky
270,Takhli,TH,15.26,100.34,73.74,79,4,6.29,clear sky
271,Hasaki,JP,35.73,140.83,59.0,93,75,8.05,shower rain
272,Manamadurai,IN,9.7,78.48,75.2,94,75,11.52,mist
273,Machali,CL,-34.18,-70.67,66.2,63,0,5.37,clear sky
274,Dedougou,BF,12.47,-3.47,97.93,12,0,9.19,clear sky
275,Hualmay,PE,-11.1,-77.61,67.55,65,82,11.86,broken clouds
276,Saint Anthony,US,45.02,-93.22,60.8,71,1,13.87,clear sky
277,Carbondale,US,37.73,-89.22,68.0,82,20,8.05,few clouds
278,Sibu,MY,2.3,111.82,77.0,94,40,1.12,light rain
279,Langham,CA,52.37,-106.97,19.4,85,90,26.4,light snow
280,Tshikapa,CD,-6.42,20.8,81.48,85,74,1.9,moderate rain
281,Palafrugell,ES,41.92,3.16,66.99,56,86,9.22,overcast clouds
282,Xuchang,CN,34.02,113.82,46.4,52,0,2.24,clear sky
283,Pervomayskiy,RU,53.25,40.29,48.0,85,100,17.72,overcast clouds
284,Ancud,CL,-41.87,-73.82,68.0,62,0,16.11,clear sky
285,Anshun,CN,26.25,105.93,51.85,72,36,8.55,scattered clouds
286,Visby,SE,57.64,18.3,50.0,71,0,3.36,clear sky
287,Belaya Gora,RU,68.53,146.42,-8.72,91,98,2.28,overcast clouds
288,Berlevag,NO,70.86,29.09,35.89,84,100,28.72,overcast clouds
289,Cutervo,PE,-6.38,-78.82,61.66,74,60,6.98,light rain
290,Olafsvik,IS,64.89,-23.71,42.48,72,72,20.58,broken clouds
291,Narsaq,GL,60.92,-46.05,33.8,80,100,9.17,overcast clouds
292,Cherskiy,RU,68.75,161.3,4.66,94,100,1.39,overcast clouds
293,Luis Correia,BR,-2.88,-41.67,91.44,49,11,14.38,few clouds
294,Mao,ES,39.89,4.27,68.0,82,20,6.93,few clouds
295,Mattru,SL,7.62,-11.83,84.96,73,65,3.13,light rain
296,Emerald,AU,-23.53,148.17,71.6,68,90,13.87,overcast clouds
297,Sao Filipe,CV,14.9,-24.5,81.54,68,100,12.71,overcast clouds
298,Farmington,US,36.73,-108.22,39.99,64,1,5.82,clear sky
299,Bara,NG,10.37,10.73,91.4,19,70,5.82,broken clouds
300,Fairbanks,US,64.84,-147.72,33.8,74,90,9.17,light rain
301,Weinsberg,DE,49.15,9.29,59.0,67,0,3.36,clear sky
302,Garden City,US,42.33,-83.33,60.01,81,1,3.87,haze
303,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,17.6,78,0,6.71,clear sky
304,Bloemfontein,ZA,-29.12,26.21,87.8,20,20,13.87,few clouds
305,La Rioja,ES,42.25,-2.5,60.8,72,0,10.29,clear sky
306,Pavia,IT,45.18,9.16,66.99,67,4,1.43,clear sky
307,Doctor Juan Leon Mallorquin,PY,-25.4,-55.27,91.4,38,75,6.93,light rain
308,Krasnoslobodsk,RU,48.71,44.57,49.66,81,75,20.13,broken clouds
309,Charters Towers,AU,-20.1,146.27,70.88,73,88,18.5,overcast clouds
310,Khani,GE,41.96,42.96,53.6,87,40,6.93,scattered clouds
311,Ewa Beach,US,21.32,-158.01,78.8,78,1,4.7,clear sky
312,Henderson,US,36.04,-114.98,48.2,45,90,19.46,overcast clouds
313,Coos Bay,US,43.37,-124.22,39.2,93,20,5.82,few clouds
314,Keetmanshoop,NA,-26.58,18.13,91.4,15,0,11.41,clear sky
315,Kruisfontein,ZA,-34.0,24.73,64.99,76,2,8.01,clear sky
316,Sabang,ID,5.89,95.32,82.33,77,100,0.72,overcast clouds
317,Mariental,NA,-24.63,17.97,97.84,9,37,8.52,scattered clouds
318,Yar-Sale,RU,66.83,70.83,24.3,98,77,5.12,light snow
319,Ryotsu,JP,38.08,138.43,47.86,63,2,24.43,clear sky
320,Progreso,MX,21.28,-89.67,81.0,88,20,6.93,few clouds
321,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,40,14.99,scattered clouds
322,Gillette,US,44.29,-105.5,35.6,93,90,12.75,overcast clouds
323,Vallenar,CL,-28.57,-70.76,79.27,26,0,8.72,clear sky
324,Povenets,RU,62.85,34.83,34.77,84,6,14.92,clear sky
325,Awjilah,LY,29.11,21.29,74.3,44,69,10.29,broken clouds
326,Biltine,TD,14.53,20.92,90.99,17,7,8.3,clear sky
327,Laguna,US,38.42,-121.42,48.2,57,90,8.05,overcast clouds
328,Gigmoto,PH,13.78,124.39,79.52,86,100,8.52,light rain
329,El Cope,PA,8.62,-80.6,80.6,78,20,5.82,few clouds
330,Qasigiannguit,GL,68.82,-51.19,10.4,55,40,11.41,scattered clouds
331,Nouadhibou,MR,20.93,-17.03,80.6,54,44,14.99,scattered clouds
332,Jatai,BR,-17.88,-51.71,94.21,30,0,9.33,clear sky
333,Ternate,ID,0.8,127.4,80.65,74,75,6.53,broken clouds
334,Port Lincoln,AU,-34.73,135.87,63.91,62,12,13.62,light rain
335,Brae,GB,60.4,-1.35,50.0,87,40,16.11,scattered clouds
336,Baijiantan,CN,45.63,85.18,39.38,62,0,3.13,clear sky
337,Palu,ID,-0.89,119.87,76.44,81,81,1.79,light rain
338,Wenchi,GH,7.74,-2.1,87.78,51,97,2.17,overcast clouds
339,Placido De Castro,BR,-10.34,-67.19,97.16,33,83,3.8,broken clouds
340,Chapada Dos Guimaraes,BR,-15.46,-55.75,95.0,36,0,9.17,clear sky
341,Ostrovnoy,RU,68.05,39.51,38.8,80,75,19.06,light rain
342,Nanortalik,GL,60.14,-45.24,31.75,97,100,9.46,overcast clouds
343,Constitucion,CL,-35.33,-72.42,66.24,51,59,5.39,broken clouds
344,Bambanglipuro,ID,-7.95,110.28,78.91,82,73,4.47,broken clouds
345,Tabuk,PH,17.42,121.44,74.73,89,100,2.19,moderate rain
346,Vila Velha,BR,-20.33,-40.29,84.2,74,20,11.41,few clouds
347,Matara,LK,5.95,80.54,79.27,83,98,2.98,moderate rain
348,Kattivakkam,IN,13.22,80.32,82.4,74,75,11.41,haze
349,Beloha,MG,-25.17,45.05,86.56,42,0,11.54,clear sky
350,Pauini,BR,-7.71,-66.98,94.93,43,100,2.98,overcast clouds
351,San Juan Evangelista,MX,17.9,-95.13,75.2,88,5,2.24,clear sky
352,Krasnoarmeyskoye,RU,52.72,50.03,44.42,78,100,16.91,overcast clouds
353,Barra,BR,-11.09,-43.14,87.06,49,0,8.77,clear sky
354,Beringovskiy,RU,63.05,179.32,20.77,92,17,13.29,few clouds
355,Esperance,AU,-33.87,121.9,64.4,68,27,11.41,scattered clouds
356,Isangel,VU,-19.55,169.27,75.36,85,40,15.12,light rain
357,Riyadh,SA,24.69,46.72,84.2,25,0,5.82,clear sky
358,Markivka,UA,49.52,39.57,45.7,89,56,10.65,broken clouds
359,Vilyuysk,RU,63.76,121.62,-9.27,90,5,4.29,clear sky
360,Cradock,ZA,-32.16,25.62,88.21,13,33,22.55,scattered clouds
361,Eyl,SO,7.98,49.82,80.6,71,79,16.73,broken clouds
362,Surt,LY,31.21,16.59,70.66,62,7,11.45,light rain
363,Raudeberg,NO,61.99,5.14,46.99,95,35,16.06,scattered clouds
364,Lagoa,PT,39.05,-27.98,59.72,72,89,13.82,overcast clouds
